date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-04-30 23:50:15,McGauley2,johnshrader,0,0,1,"His State Farm agent needs to talk some sense into him! Everyone needs to play ball and stop yapping.",,,,1123374034555625472,https://twitter.com/McGauley2/status/1123374034555625472
2019-04-30 23:45:03,JodyAgency,,0,0,0,"Helping customers with life insurance is one of the most meaningful things that I do. It's an honor State Farm® has been recognized for it five years in a row. Let’s look at your protection and I can help you determine if you have what you need. ",,,,1123372726519910402,https://twitter.com/JodyAgency/status/1123372726519910402
2019-04-30 23:40:52,MKoch_77,,0,0,0,"The @StateFarm commercial on @Spotify is so bad that I’m seriously considering paying for a premium service just to not hear it ever again.",,@StateFarm @Spotify,,1123371671857971202,https://twitter.com/MKoch_77/status/1123371671857971202
2019-04-30 23:35:34,HCPSCommunity,,0,5,9,"@StateFarm @lclucas08 @SlighMiddle @Jeff_Eakins @mlouwhaley Our first ever Choice Bus tour in Hillsborough County School district thanks to @mattiecstewart and @StateFarm @T_Shamburger. It started off with a bang at Sligh Middle Magnet School! I really enjoyed this experience ",,@StateFarm @SlighMiddle @Jeff_Eakins @mlouwhaley @mattiecstewart @StateFarm @T_Shamburger,,1123370338279198720,https://twitter.com/HCPSCommunity/status/1123370338279198720
2019-04-30 23:35:06,PhxSoul,,0,0,0,"Join the Delta Beta Omega Chapter of Alpha Kappa Alpha Sorority, Inc, along with Keller Williams Realty, State Farm and VIP Mortgage Inc. for a FREE Home Buyer Workshop on May 9: http://ow.ly/ux0D30oAeb8",,,,1123370222520553478,https://twitter.com/PhxSoul/status/1123370222520553478
2019-04-30 23:33:18,polkabecky,polkabecky,1,0,1,"That's the oldest tree on this property. I'm pretty mad. May just let State Farm have at it, tho. Haven't decided. Police report has been filed.",,,,1123369767698563072,https://twitter.com/polkabecky/status/1123369767698563072
2019-04-30 23:32:02,forgiiveness,fterlaughter,0,0,1,"i’m not from statefarm i’m from yorkshire",,,,1123369446989541376,https://twitter.com/forgiiveness/status/1123369446989541376
2019-04-30 23:26:57,lisbethwest,,0,0,0,"Allstate, State Farm sue pain practices over alleged billing schemes — 6 insights https://www.beckersasc.com/asc-turnarounds-ideas-to-improve-performance/allstate-state-farm-sue-pain-practices-over-alleged-billing-schemes-6-insights.html",,,,1123368170201526275,https://twitter.com/lisbethwest/status/1123368170201526275
2019-04-30 23:18:55,statefarm_chapo,Crysstal_garcia,0,0,1,"That means youre the size of gucci",,,,1123366148676866049,https://twitter.com/statefarm_chapo/status/1123366148676866049
2019-04-30 23:18:32,Crysstal_garcia,statefarm_chapo,1,0,1,"You’re the size of my Pomeranian",,,,1123366052497248257,https://twitter.com/Crysstal_garcia/status/1123366052497248257
2019-04-30 23:11:46,statefarm_chapo,Crysstal_garcia,1,0,1,"I thought you were 12",,,,1123364347898523651,https://twitter.com/statefarm_chapo/status/1123364347898523651
2019-04-30 23:05:39,jagcgc373,BleacherReport,0,0,0,"Cringey af",,,,1123362809390043136,https://twitter.com/jagcgc373/status/1123362809390043136
2019-04-30 23:04:22,PhoenixGolf55,BleacherReport,0,0,0,"Hopefully it’s a part 2 to this one.",,,,1123362487536111616,https://twitter.com/PhoenixGolf55/status/1123362487536111616
2019-04-30 23:03:18,RooibosandRose,,0,0,1,"Im thinking this is the one I prob will go with. State Farm has a return of premium which is nice so I will head on over to your link for further info. Thanks!",,,,1123362217309741056,https://twitter.com/RooibosandRose/status/1123362217309741056
2019-04-30 23:00:32,smwmustang,,0,0,0,"Last year, State Farm Neighborhood Assist helped 40 communities across the country. Starting June 5, submit your cause for a chance at a $25,000 grant to assist your neighborhood. http://st8.fm/NBHDAssist",,,,1123361520413433856,https://twitter.com/smwmustang/status/1123361520413433856
2019-04-30 23:00:00,KansanNews,,0,1,14,"Flo, from Progressive. Jake, from State Farm. A @KUbschool student, from the University of Kansas. The future is here.",,@KUbschool,,1123361388519411712,https://twitter.com/KansanNews/status/1123361388519411712
