city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
Chicago,1840000494,2019-12-31 04:56:00,16,,CHE,1211873615177752576,41.8373,-87.6862,,https://twitter.com/ChiHoopsExpress/status/1211873615177752576,2,1,#CHE - - - Congratulations to Ambranette Storr on her State Farm all tournament selection. ,,ChiHoopsExpress
Chicago,1840000494,2019-12-28 00:40:08,5,,[],1210722062416769026,41.8373,-87.6862,,https://twitter.com/ChiHoopsExpress/status/1210722062416769026,0,0,At State Farm: Lincoln-Way West 77 Kankakee 52,,ChiHoopsExpress
Chicago,1840000494,2019-12-25 07:50:33,0,,DLT StateFarm,1209743217907970051,41.8373,-87.6862,,https://twitter.com/LulaEDUcate/status/1209743217907970051,1,0,"13/x While there is a lot of promise, especially with claims management and claims denial, a good place to start may be settlement on a #DLT like #StateFarm see- ",,LulaEDUcate
Chicago,1840000494,2019-12-24 19:49:11,0,,[],1209561679358504965,41.8373,-87.6862,,https://twitter.com/Jglendab/status/1209561679358504965,0,0,"I'm at Marguerita Morgan - State Farm Insurance Agent in Chicago, IL ",,Jglendab
Chicago,1840000494,2019-12-23 23:13:57,0,,[],1209250824335044609,41.8373,-87.6862,,https://twitter.com/Jglendab/status/1209250824335044609,0,0,"I'm at Michael J Karr - State Farm Insurance Agent in Chicago, IL ",,Jglendab
Chicago,1840000494,2019-12-19 21:03:48,1,,SenatorMunoz ChavezFamily Community Pilsen StateFarm,1207768518474768384,41.8373,-87.6862,,https://twitter.com/PJHReynolds/status/1207768518474768384,1,0,"Thank you to Senator Munoz, Sandy Chavez and her amazing band of elves and well wishers. We wish that we could name all of the amazing people that contributed to making today a wonderful day for our students. THANK YOU #SenatorMunoz #ChavezFamily #Community #Pilsen #StateFarm – at walsh elementary school",,PJHReynolds
Chicago,1840000494,2019-12-12 17:43:01,17,,[],1205181273154768898,41.8373,-87.6862,,https://twitter.com/reesetheone1/status/1205181273154768898,4,7,Do the state farm jingle when extreme weather hits. So what tornado alley is moving east! 2000 was the election where progressives fucked that up. Remember this guy? Nice Nobel Peace Prize he won! On. Climate. Change. https://twitter.com/dresswhisperer/status/1205171425008480256,,reesetheone1
Chicago,1840000494,2019-12-12 12:03:18,9,,[],1205095781281218560,41.8373,-87.6862,@kayannaaa2 @roshwebb_ @Amberstorr33 @ZBuckets2x @bri_doll23 @balloutjada,https://twitter.com/ChiHoopsExpress/status/1205095781281218560,0,0,Make sure I get a State Farm Picture - @miya68772899 @kayannaaa2 @roshwebb_ @Amberstorr33 @brianna31384014 @ZBuckets2x @bri_doll23 @balloutjada ,,ChiHoopsExpress
Chicago,1840000494,2019-12-12 12:02:28,2,,[],1205095571855413249,41.8373,-87.6862,@balloutjada,https://twitter.com/ChiHoopsExpress/status/1205095571855413249,0,0,Good luck to @balloutjada and her Peoria Richwoods squad at State Farm ,,ChiHoopsExpress
Chicago,1840000494,2019-12-11 23:39:31,0,,[],1204908601434943488,41.8373,-87.6862,,https://twitter.com/Jglendab/status/1204908601434943488,0,0,"I'm at Marguerita Morgan - State Farm Insurance Agent in Chicago, IL https://www.swarmapp.com/c/4FXfU14O2IO",,Jglendab
Chicago,1840000494,2019-12-11 17:31:49,20,,[],1204816066951761921,41.8373,-87.6862,@ChicagoBears @StateFarm @BearsBarroom @ChicagoBears @GBraggsJr23 @CarsKeys1 @wasram,https://twitter.com/JoeMandel/status/1204816066951761921,5,8,The @ChicagoBears are heading into the @StateFarm portion of their schedule @BearsBarroom @ChicagoBears @GBraggsJr23 @CarsKeys1 @wasram,,JoeMandel
Chicago,1840000494,2019-12-10 03:43:13,19,,[],1204245154850312192,41.8373,-87.6862,,https://twitter.com/ChiHoopsExpress/status/1204245154850312192,3,1,"Good luck at the State Farm Classic to Kankakee, Lincoln-Way West, Kenwood &amp; Normal West. ",,ChiHoopsExpress
Chicago,1840000494,2019-12-08 18:09:49,0,,[],1203738467454324736,41.8373,-87.6862,,https://twitter.com/Jglendab/status/1203738467454324736,0,0,"I'm at Marguerita Morgan - State Farm Insurance Agent in Chicago, IL https://www.swarmapp.com/c/gnc91ayArKf",,Jglendab
Chicago,1840000494,2019-12-08 13:38:21,0,,TriplePlay19,1203670149708079105,41.8373,-87.6862,,https://twitter.com/seancarp/status/1203670149708079105,0,0,I going to #TriplePlay19?,JPhilipFaranda,seancarp
Chicago,1840000494,2019-12-08 13:29:25,0,,[],1203667901313671168,41.8373,-87.6862,,https://twitter.com/seancarp/status/1203667901313671168,1,0,So you saw him regularly in a business setting (BNI)? That makes sense but does he hang out with you and drive around town together? I’m just not a fan of the commercial set up but at least it’s not as stupid as the Bud Light dorky king spots,JPhilipFaranda,seancarp
Chicago,1840000494,2019-12-05 01:28:39,0,,[],1202399350384672768,41.8373,-87.6862,@StateFarm,https://twitter.com/governorvb/status/1202399350384672768,1,0,It’s not a good feeling when you have been with @StateFarm for over 40 years and when you need them the most they give you the run around not cool.,StateFarm,governorvb
Chicago,1840000494,2019-12-05 01:21:04,0,,[],1202397444820078592,41.8373,-87.6862,,https://twitter.com/governorvb/status/1202397444820078592,1,0,I’m having a very difficult time dealing with management and there refusal to come out and look a my roof again after we were told yesterday that they would.,StateFarm,governorvb
Chicago,1840000494,2019-12-05 00:23:48,0,,[],1202383033229365248,41.8373,-87.6862,@StateFarm,https://twitter.com/governorvb/status/1202383033229365248,1,0,You’ll be hearing from me tomorrow @StateFarm,,governorvb
Chicago,1840000494,2019-12-04 21:06:07,0,,[],1202333280508481538,41.8373,-87.6862,@StateFarm,https://twitter.com/bigdiva78/status/1202333280508481538,1,0,Switch to @StateFarm friend. Someone ran into the back of me over the Spring. We both had State Farm...my car was in the shop two days later.,SpoiledBrat0925,bigdiva78
Chicago,1840000494,2019-12-04 01:04:41,0,,[],1202030932892499970,41.8373,-87.6862,@Allstate,https://twitter.com/ForeverPoetic/status/1202030932892499970,0,0,I don’t doubt it! And I’m sorry to hear you’re enduring that hardship. I met a gentleman who had @Allstate deny his extended rental coverage too! Pathetic that corporations are quick to take our money and even quicker to fail to do right by consumers. ,MsShep86,ForeverPoetic
Chicago,1840000494,2019-11-30 02:05:17,1,,LosersClub,1200596630245740544,41.8373,-87.6862,,https://twitter.com/SeanRistau/status/1200596630245740544,0,0,Nice excuse to raise your rates for nothing #LosersClub,SeanRistau,SeanRistau
Chicago,1840000494,2019-11-30 01:59:11,1,,[],1200595095000616965,41.8373,-87.6862,,https://twitter.com/SeanRistau/status/1200595095000616965,1,0,They aren’t that good anymore,BillWinterberg,SeanRistau
Chicago,1840000494,2019-11-28 23:41:36,2,,allelitefleet,1200198084954865665,41.8373,-87.6862,@AEWrestling @StateFarm @KingRouse21,https://twitter.com/MicroMikeMedia/status/1200198084954865665,0,1,"Next time @AEWrestling @StateFarm is in Chicago yall me as your color commentator. I've actually done color at Hoffman Estates before. #allelitefleet trying my best not to bury anyone. At least get @KingRouse21 someone who's a professional, exciting, and a fan. Smh Sears Centre.",,MicroMikeMedia
Chicago,1840000494,2019-11-26 15:17:17,0,,[],1199346393350983682,41.8373,-87.6862,,https://twitter.com/DLYourIdentity/status/1199346393350983682,0,0,"Hey Family & Friends, today's interview is with State Farm Agent Ryan Wiley in the Belmont Cragin Community. Jay El Maestro Alicea Senior Mortgage Loan Originator NMLS#769758 ",,DLYourIdentity
