,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-12-24 21:25:02,HennigSf,,1,0,2,"Our office is closed tomorrow, Dec. 25, and will reopen at normal business hours on Thursday, Dec. 26. From my family and all of us at Matt Hennig State Farm we wish you a Merry Christmas and Happy Holidays! ",,,[],1209585801039958019,https://twitter.com/HennigSf/status/1209585801039958019,1840007069,Des Moines,41.5725,-93.6105
1,1,2019-12-24 04:22:43,iowaradioguy,,0,0,2,State Farm &gt; Pizza Ranch #TheNorthIsNotEnough #GoPackGo,,,TheNorthIsNotEnough GoPackGo,1209328524026404869,https://twitter.com/iowaradioguy/status/1209328524026404869,1840007069,Des Moines,41.5725,-93.6105
2,2,2019-12-17 23:12:29,sharclark36,StateFarm,0,0,0,@beatlechickstep I love this! Ketch is a delight when he’s not Ketch ,,@beatlechickstep,[],1207076126817996800,https://twitter.com/sharclark36/status/1207076126817996800,1840007069,Des Moines,41.5725,-93.6105
3,3,2019-11-27 14:25:15,ctrlalt313373,,0,0,0,"Beginning to conclude the @statefarm is worthless or insurance is worthless. Ladder laying in the road on a right turn hidden by the height of the curb, no way to see it and get stopped in time and it is still considered my fault.",,@StateFarm,[],1199695686566109185,https://twitter.com/ctrlalt313373/status/1199695686566109185,1840007069,Des Moines,41.5725,-93.6105
4,4,2019-10-16 13:35:19,MarkDlock1,TeethChief,0,0,0,So True State Farm! ,,,[],1184462829119823875,https://twitter.com/MarkDlock1/status/1184462829119823875,1840007069,Des Moines,41.5725,-93.6105
5,5,2019-10-04 00:47:01,LDonovanKCCI,,3,0,5,Also SO OVER the Mahomes + Rodgers @StateFarm commercial. It makes me so uncomfy EVERY TIME I SEE IT because it’s just not funny. #SEAvsLAR #ThursdayNightFootball,,@StateFarm,SEAvsLAR ThursdayNightFootball,1179920827061542912,https://twitter.com/LDonovanKCCI/status/1179920827061542912,1840007069,Des Moines,41.5725,-93.6105
6,6,2019-09-28 18:03:18,CyGradCyDad,NoHuddle_CFB,0,2,8,Jake from State Farm ,,,[],1178007286670921728,https://twitter.com/CyGradCyDad/status/1178007286670921728,1840007069,Des Moines,41.5725,-93.6105
7,7,2019-09-27 14:29:05,IAHawkeyes48,NBCSCubs,0,0,4,Only 5??,,,[],1177590991735414785,https://twitter.com/IAHawkeyes48/status/1177590991735414785,1840007069,Des Moines,41.5725,-93.6105
8,8,2019-09-21 15:21:43,HannahEileen_,,1,0,1,@StateFarm any chance my Drive Safe &amp; Save monitor is rating my car singing along with my driving skills? Cuz anything to get a discount..,,@StateFarm,[],1175429908274843648,https://twitter.com/HannahEileen_/status/1175429908274843648,1840007069,Des Moines,41.5725,-93.6105
9,9,2019-07-28 15:11:34,kci04,,1,0,0,"@statefarm Hi, any idea why the mobile app does not let me view my auto insurance cards? I can see the auto policy as part of viewing the bill… TIA",,@StateFarm,[],1155496023193772032,https://twitter.com/kci04/status/1155496023193772032,1840007069,Des Moines,41.5725,-93.6105
10,10,2019-06-26 18:24:55,toddjacobus,,0,0,0,"Roof of our home in Des Moines damaged during hail storm on May 16, 2019. Been working with State Farm Insurance &amp; Mike Dieger of Titan Roofing &amp; Exteriors [@TitanRoofingExt] to replace roof &amp; gutters. Work will be done next Wednesday (July 3). Great experience with them so far!",,@TitanRoofingExt,[],1143948270064066561,https://twitter.com/toddjacobus/status/1143948270064066561,1840007069,Des Moines,41.5725,-93.6105
11,11,2019-06-25 10:02:41,BenICMIF,ICMIF_Web,0,2,0,US #mutual insurer @StateFarm was again ranked as the largest mutual/cooperative #insurance company in the world in this year’s ICMIF Global 500 rankings,,@StateFarm,mutual insurance,1143459490735558656,https://twitter.com/BenICMIF/status/1143459490735558656,1840007069,Des Moines,41.5725,-93.6105
12,12,2019-05-17 02:19:55,TheCaptain019,,0,0,1,Mother Nature flexing her muscles again. Came close to taking water again from @DesMoinesGov @DSMH2O sewers not being able to keep up. Corporate @StateFarm would probably recommend to clean my gutters to prevent flooding. #enough,,@DesMoinesGov @DSMH2O @StateFarm,enough,1129209904101756928,https://twitter.com/TheCaptain019/status/1129209904101756928,1840007069,Des Moines,41.5725,-93.6105
13,13,2019-03-23 23:23:27,TomFlorian1,,1,0,4,"Maybe it's the amount of basketball I've watched in place of sleep recently, but I just LOST it watching that @StateFarm commercial with the @HoustonRockets mascot firing t-shirts in @CP3’s house. SO GOOD. #Marketing #Advertising #MarchMadness #SportsBiz #Sponsorship",,@StateFarm @HoustonRockets @CP3,Marketing Advertising MarchMadness SportsBiz Sponsorship,1109596549972193280,https://twitter.com/TomFlorian1/status/1109596549972193280,1840007069,Des Moines,41.5725,-93.6105
14,14,2019-01-14 01:21:55,ShannonSalmon,,0,0,2,What a fun night court-side at @iowaenergy game! Thanks benbuenzow for the tickets! . . #iowawolves #desmoines #wellsfargoarena #sellinginstripes #statefarm #remaxconcepts… https://www.instagram.com/p/BsmKpuXA7-c/?utm_source=ig_twitter_share&amp;igshid=ggzonpvsomvs,,@iowaenergy,iowawolves desmoines wellsfargoarena sellinginstripes statefarm remaxconcepts,1084621599364579328,https://twitter.com/ShannonSalmon/status/1084621599364579328,1840007069,Des Moines,41.5725,-93.6105
15,15,2019-12-08 19:53:34,Aaron_says_SKOL,,0,0,4,"Not sure which is worse. These refs constantly interrupting the game, or Aaron Rodgers' State Farm commercials interrupting the game. #Skol",,,Skol,1203764577122562055,https://twitter.com/Aaron_says_SKOL/status/1203764577122562055,1840007081,Davenport,41.5563,-90.6052
16,16,2019-12-03 23:21:53,jaydub_1961,Gregoradio,2,0,0,Will I be seeing you later this month Greg and Jim at State Farm later this month,,,[],1202005060223479808,https://twitter.com/jaydub_1961/status/1202005060223479808,1840007081,Davenport,41.5563,-90.6052
17,17,2019-11-17 06:45:09,lou_wickett,,0,0,6,"If @AaronRodgers12 played darts. Better than a State Farm commercial, am I right @lonely_fan – at Stockade",,@AaronRodgers12 @lonely_fan,[],1195956018125164544,https://twitter.com/lou_wickett/status/1195956018125164544,1840007081,Davenport,41.5563,-90.6052
18,18,2019-11-09 23:55:39,eightman8jgp,,0,0,1,"Seventy Eight was slightly better, imo - Drinking a Curiosity Seventy Nine by @TreeHouseBrewCo @Dave Feist - State Farm Insurance Agent — ",,@TreeHouseBrewCo,[],1193316252137218050,https://twitter.com/eightman8jgp/status/1193316252137218050,1840007081,Davenport,41.5563,-90.6052
19,19,2019-09-26 22:26:50,KMLBbearscubfan,,0,0,0,"I'm at Chad Johnson - State Farm Insurance Agent in Cedar Rapids, IA ",,,[],1177348833065541632,https://twitter.com/KMLBbearscubfan/status/1177348833065541632,1840000471,Cedar Rapids,41.9667,-91.6781
20,20,2019-09-04 17:50:14,barnhill_dustin,,0,0,0,"@StateFarm My car got hail damage, state farm wants to total out my car and they are offering 2500 less then my loan. Leaving me with the remainder balance to pay out of pocket on a car i wldnt own plus no vehicle with no eligibility for a new car because of the bad equity",,@StateFarm,[],1169306693001519106,https://twitter.com/barnhill_dustin/status/1169306693001519106,1840000471,Cedar Rapids,41.9667,-91.6781
21,21,2019-07-14 17:27:49,Hawk_Nation71,,0,0,1,"Hey @StateFarm when can we expect a new commercial with Russ, Harden, and Oscar from the Office ",,@StateFarm,[],1150456878893285377,https://twitter.com/Hawk_Nation71/status/1150456878893285377,1840000532,Iowa City,41.6559,-91.5304
22,22,2019-06-03 09:23:02,ICPDActivityBot,,0,0,0,MALE SITTING OUT FRONT OF THE NEXT DOOR APT BLDG - SITTING OUT FRONT OF THE STATE FARM BLDG OLDER WM https://www.iowa-city.org/icgovapps/police/details?dispatchNumber=19091194,,,[],1135476978084122624,https://twitter.com/ICPDActivityBot/status/1135476978084122624,1840000532,Iowa City,41.6559,-91.5304
23,23,2019-04-05 02:31:23,webcentrick,ShelleyTill,0,0,1,That was fun and simply insane!,,,[],1113992500245671936,https://twitter.com/webcentrick/status/1113992500245671936,1840000532,Iowa City,41.6559,-91.5304
24,24,2019-09-25 13:40:08,BenakSandy,,0,0,3,"Congratulations to House Of Hope for being one of the Top 40 to win $25,000 @StateFarm @BenakSandy @DuskyHOH @SF_KellyPargett",,@StateFarm @BenakSandy @SF_KellyPargett,[],1176853895492116491,https://twitter.com/BenakSandy/status/1176853895492116491,1840000440,Waterloo,42.492,-92.3522
25,25,2019-09-19 16:13:02,BenakSandy,,0,1,1,Stay tuned... Next Wednesday 9/25/19 the Winners for 2019 State Farm Neighborhood Assist will be announced. @BenakSandy @DuskyHOH,,@BenakSandy,[],1174718045903872005,https://twitter.com/BenakSandy/status/1174718045903872005,1840000440,Waterloo,42.492,-92.3522
26,26,2019-06-27 19:57:53,hansen_dairy,BHJAKE,0,0,0,Wow! What kind of vehicle is that?,,,[],1144334052905930752,https://twitter.com/hansen_dairy/status/1144334052905930752,1840000440,Waterloo,42.492,-92.3522
27,27,2019-10-27 18:55:10,jmack2448,,0,0,0,Hey @PatrickMahomes and @AaronRodgers12 Will your agent Gabe Gabriel be at the game tonight??? @StateFarm ,,@PatrickMahomes @AaronRodgers12 @StateFarm,[],1188529590798639104,https://twitter.com/jmack2448/status/1188529590798639104,1840000447,Sioux City,42.4959,-96.3901
28,28,2019-09-09 15:15:40,JayteHamilton,,0,0,1,I’ve cutoff all ties with State Farm and so much weight has been taken off of my shoulders ,,,[],1171079732999413760,https://twitter.com/JayteHamilton/status/1171079732999413760,1840000447,Sioux City,42.4959,-96.3901
29,29,2019-03-23 14:40:48,Joe_Gutter,,0,0,0,"Redo from 200?.....#SeamlessGutters #BayMiters #ReturnBusiness #Redo #HailDamage #StateFarm @South Sioux City, Nebraska https://www.instagram.com/p/BvWsIyKg0el/?utm_source=ig_twitter_share&amp;igshid=z2hzd6h3evvv",,,SeamlessGutters BayMiters ReturnBusiness Redo HailDamage StateFarm,1109465018968338432,https://twitter.com/Joe_Gutter/status/1109465018968338432,1840000447,Sioux City,42.4959,-96.3901
30,30,2019-06-13 21:55:32,47of74,,0,0,0,"I'm at Dennis Baumhover - State Farm Insurance Agent in Dubuque, IA https://www.swarmapp.com/c/cxRMSqQRnxl",,,[],1139290229200867328,https://twitter.com/47of74/status/1139290229200867328,1840000438,Dubuque,42.5007,-90.7067
31,31,2019-12-05 22:13:18,Doctor_Wattson,,0,0,0,I am so tired of those State Farm and Xbox commercials.,,,[],1202712576108453893,https://twitter.com/Doctor_Wattson/status/1202712576108453893,1840007019,Ames,42.0258,-93.6216
32,32,2019-11-01 00:56:03,HennigSf,,0,0,1,"Zoinks! Whether you’re chasing fake monsters or just doing your basic meddling, Matt Hennig State Farm will make sure your Mystery Machine is covered! #ScoobyDoo #halloween #mysterymachine #autoinsurance",,,ScoobyDoo ScoobyDoo halloween mysterymachine autoinsurance,1190069959508054016,https://twitter.com/HennigSf/status/1190069959508054016,1840007019,Ames,42.0258,-93.6216
33,33,2019-10-10 22:00:07,TrooperStickney,SergeantDinkla,1,4,17,"I tried this out at the @IowaStateFair and it definitely made me a believer. Also ask someone who you may know survived a crash because they were wearing their seatbelt. #BUCKLEUP, @StateFarm ",,@IowaStateFair @StateFarm,BUCKLEUP,1182415541149093889,https://twitter.com/TrooperStickney/status/1182415541149093889,1840007019,Ames,42.0258,-93.6216
34,34,2019-09-08 18:05:25,AlsFixed,,0,0,0,Why does Aaron Rodgers keep bothering that other insurance guy by showing up? We all know he has god damn State Farm by now.,,,[],1170760062329151488,https://twitter.com/AlsFixed/status/1170760062329151488,1840007019,Ames,42.0258,-93.6216
35,35,2019-08-28 23:56:44,GriffenEllen,mchlgallagher,0,0,0,Now that’s Iowa State “Farm Strong” love it! ,,,[],1166862210062323712,https://twitter.com/GriffenEllen/status/1166862210062323712,1840007019,Ames,42.0258,-93.6216
36,36,2019-06-17 22:16:24,TimRipperOwens,,3,4,19,"http://ronniejamesdio.com/tour.html June 19 - Kansas City, MO @Uptown Theater 20 Oklahoma City, @Criterion 21 Dallas @Bomb Factory 22 Hidalgo, TX @State Farm Hidalgo Arena 23 Beaumont, Texas @Jefferson Theater 26 Phoenix @The Orpheum Theatre 28 Los Angeles @The Wiltern",,,[],1140745034192625665,https://twitter.com/TimRipperOwens/status/1140745034192625665,1840007019,Ames,42.0258,-93.6216
37,37,2019-05-18 13:07:29,47of74,,0,0,0,@StateFarm I’m probably going to have to take a look at moving my insurance elsewhere if what I pay you is going to fund people who look with approval at the way the Saudi government treats women.,,@StateFarm,[],1129735256809119744,https://twitter.com/47of74/status/1129735256809119744,1840007019,Ames,42.0258,-93.6216
38,38,2019-04-19 22:07:54,UIU_Softball,,0,0,0,T5 | 8-4 BIG TIME STRIKEOUT! Huskies score a couple on a wild pitch but that’ll do it. Looking to add some #StateFarm in the bottom half ,,,StateFarm,1119362010414833670,https://twitter.com/UIU_Softball/status/1119362010414833670,1840007019,Ames,42.0258,-93.6216
39,39,2019-04-19 18:59:23,MVO1738,StateFarm,0,1,0,state farm doesnt get it ,,,[],1119314568700993536,https://twitter.com/MVO1738/status/1119314568700993536,1840007019,Ames,42.0258,-93.6216
40,40,2019-04-15 20:27:36,UIU_Softball,,0,0,2,E6 | 15-12 Golden Bears add one run. Looking for some insurance runs in the 7th! #STATEFARM #FeathersUp ,,,STATEFARM FeathersUp,1117887215848214529,https://twitter.com/UIU_Softball/status/1117887215848214529,1840007019,Ames,42.0258,-93.6216
41,41,2019-12-24 21:25:02,HennigSf,,1,0,2,"Our office is closed tomorrow, Dec. 25, and will reopen at normal business hours on Thursday, Dec. 26. From my family and all of us at Matt Hennig State Farm we wish you a Merry Christmas and Happy Holidays! ",,,[],1209585801039958019,https://twitter.com/HennigSf/status/1209585801039958019,1840010185,West Des Moines,41.5522,-93.7805
42,42,2019-12-24 04:22:43,iowaradioguy,,0,0,2,State Farm &gt; Pizza Ranch #TheNorthIsNotEnough #GoPackGo,,,TheNorthIsNotEnough GoPackGo,1209328524026404869,https://twitter.com/iowaradioguy/status/1209328524026404869,1840010185,West Des Moines,41.5522,-93.7805
