,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-12-29 04:37:52,libberachi,,1,0,8,PlayStation Fiesta Bowl at State Farm Stadium just doesn’t hit the same.,,,[],1211144278124060673,https://twitter.com/libberachi/status/1211144278124060673,1840020364,Las Vegas,36.2333,-115.2654
1,1,2019-12-23 07:22:14,W_ProphetBalik,W_ProphetBalik,0,1,0,@LasVegasDA @USAO_NV @FBI more “Staged Accidents” aka “Insurance Fraud” from #demonicFag @RahmEmanuel &amp; #RacistCoward @RepFredUpton @MattLongjohn @SnoopDogg @NHPSouthernComm @LeoDiCaprio @BretBaier @Allstate @GEICO @StateFarm @NYSBA @nytimes @markwahlberg @WSJ @AlanDersh – at Murphy Express,,@LasVegasDA @USAO_NV @FBI @RahmEmanuel @RepFredUpton @MattLongjohn @SnoopDogg @NHPSouthernComm @LeoDiCaprio @BretBaier @Allstate @GEICO @StateFarm @NYSBA @nytimes @markwahlberg @WSJ @AlanDersh,demonicFag RacistCoward,1209011314292428801,https://twitter.com/W_ProphetBalik/status/1209011314292428801,1840020364,Las Vegas,36.2333,-115.2654
2,2,2019-12-19 06:15:24,Brad88ford,MiamiHerald,0,0,0,Hope he saved money by switching @GEICO and found a good neighbor @StateFarm that has seen a thing or two @WeAreFarmers,,@GEICO @StateFarm @WeAreFarmers,[],1207544945298399233,https://twitter.com/Brad88ford/status/1207544945298399233,1840020364,Las Vegas,36.2333,-115.2654
3,3,2019-12-18 00:26:01,W_ProphetBalik,W_ProphetBalik,1,1,1, #DemonicQueer @RahmEmanuel &amp; #RC @RepFredUpton I LOVE the #Fact G D/#JesusChrist has shut you down Love it - take all your deals &amp; stick’em where only Rahm likes IT @AriEmanuel @prod84 @LVMPD_Traffic @JaySekulow @greggutfeld @reviewjournal @lasvegasweekly @NBCLA @EW – at Las Vegas Harley-Davidson Shop,,@RahmEmanuel @RepFredUpton @AriEmanuel @prod84 @LVMPD_Traffic @JaySekulow @greggutfeld @reviewjournal @lasvegasweekly @NBCLA @EW,DemonicQueer RC Fact JesusChrist,1207094633404067840,https://twitter.com/W_ProphetBalik/status/1207094633404067840,1840020364,Las Vegas,36.2333,-115.2654
4,4,2019-12-18 00:08:01,W_ProphetBalik,W_ProphetBalik,1,1,1, #DemonicQueer @RahmEmanuel Never happening Moron - waste all your time &amp; resources @LVMPD @TheJusticeDept @marthamaccallum – at Grouchy John's Coffee,,@RahmEmanuel @LVMPD @TheJusticeDept @marthamaccallum,DemonicQueer,1207090100049285120,https://twitter.com/W_ProphetBalik/status/1207090100049285120,1840020364,Las Vegas,36.2333,-115.2654
5,5,2019-12-17 23:50:40,W_ProphetBalik,W_ProphetBalik,1,1,0,@Lady_Luck13 @LindseyKevitch #FreeWill @LVMPDPIOSgt @LVMPD_PIO More staged accidents @GEICO @Allstate @StateFarm @AaronRodgers12 @PatrickMahomes Style @NevadaAG @HendersonNVPD @LasVegasSun @CityAttorneyLA @USAttyHanna #DemonicQueer @RahmEmanuel @prod84 @MichelleObama – at Rainbow Boulevard &amp; Warm Springs Road,,@Lady_Luck13 @LindseyKevitch @LVMPDPIOSgt @LVMPD_PIO @GEICO @Allstate @StateFarm @AaronRodgers12 @PatrickMahomes @NevadaAG @HendersonNVPD @LasVegasSun @CityAttorneyLA @USAttyHanna @RahmEmanuel @prod84 @MichelleObama,FreeWill DemonicQueer,1207085734311522304,https://twitter.com/W_ProphetBalik/status/1207085734311522304,1840020364,Las Vegas,36.2333,-115.2654
6,6,2019-12-14 23:36:44,sportstalkmatt,ringer,0,0,0,State Farm ... sponsoring gambling content???? Well hello ,,,[],1205995066902245383,https://twitter.com/sportstalkmatt/status/1205995066902245383,1840020364,Las Vegas,36.2333,-115.2654
7,7,2019-12-12 03:31:39,aiveezee,,0,0,0,There’s no one more annoying rn then that @StateFarm kid in the commercial getting a free car from his parents,,@StateFarm,[],1204967019214331905,https://twitter.com/aiveezee/status/1204967019214331905,1840020364,Las Vegas,36.2333,-115.2654
8,8,2019-12-08 23:41:01,W_ProphetBalik,W_ProphetBalik,1,1,1,@LindseyKevitch #HELL wasn’t made for Humans #ELRae @Chiefs @PatrickMahomes @StateFarm BEAT DOWN of @Patriots &amp; Future #RaiderNation QB @TomBrady W W @RobRiggle #Beatdown @uscourts Defaults #FRCP55 @USAttyHanna @AlanDersh @GerkenHeather @YaleLawSch @HillaryClinton @KTLA – at Centennial Hills Library,,@LindseyKevitch @Chiefs @PatrickMahomes @StateFarm @Patriots @TomBrady @RobRiggle @uscourts @USAttyHanna @AlanDersh @GerkenHeather @YaleLawSch @HillaryClinton @KTLA,HELL ELRae RaiderNation Beatdown FRCP55,1203821816084496384,https://twitter.com/W_ProphetBalik/status/1203821816084496384,1840020364,Las Vegas,36.2333,-115.2654
9,9,2019-12-06 23:11:28,MeanMisterKien,,2,1,80,State farm guy reads my stuff and made me this poster lol ,,,[],1203089604028428288,https://twitter.com/MeanMisterKien/status/1203089604028428288,1840020364,Las Vegas,36.2333,-115.2654
10,10,2019-12-02 04:12:51,W_ProphetBalik,W_ProphetBalik,2,1,0,{ #FreeWill @LindseyKevitch } #TBSunday https://youtu.be/j30xDfaHA9s Hey @RobRiggle your @Chiefs had a #Dominating performance against @Raiders #RaiderNation @PatrickMahomes @StateFarm style @LAPDChiefMoore @ChiefLuhnow @LACoSheriff @LVMPD @CHPCommissioner @MeredithFrost – at Anytime Fitness,,@LindseyKevitch @RobRiggle @Chiefs @Raiders @PatrickMahomes @StateFarm @LAPDChiefMoore @ChiefLuhnow @LACoSheriff @LVMPD @CHPCommissioner @MeredithFrost,FreeWill TBSunday Dominating RaiderNation,1201353511746727937,https://twitter.com/W_ProphetBalik/status/1201353511746727937,1840020364,Las Vegas,36.2333,-115.2654
11,11,2019-12-01 23:16:30,W_ProphetBalik,W_ProphetBalik,1,1,0,{ #FreeWill @LindseyKevitch } N DE LS ever for #Lindseykevitch dopes #RC @RahmEmanuel @RepFredUpton - WOW @Raiders #RaiderNation is getting WORKED by @Chiefs @PatrickMahomes @StateFarm commercials &amp; @RobRiggle @USMC haha @LVCCLD @mayoroflasvegas @NFLonCBS @EW – at Windmill Library,,@LindseyKevitch @RahmEmanuel @RepFredUpton @Raiders @Chiefs @PatrickMahomes @StateFarm @RobRiggle @USMC @LVCCLD @mayoroflasvegas @NFLonCBS @EW,FreeWill Lindseykevitch RC RaiderNation,1201278929429884928,https://twitter.com/W_ProphetBalik/status/1201278929429884928,1840020364,Las Vegas,36.2333,-115.2654
