,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-12-17 13:40:02,LilPurvey,,0,0,0,@StateFarm @CP3 Can we get Steven Adams in some State Farm commercials? Thanks ,,@StateFarm @CP3,[],1206932064030855168,https://twitter.com/LilPurvey/status/1206932064030855168,1840020428,Oklahoma City,35.4676,-97.5137
1,1,2019-10-25 03:44:07,clarklaurenn,FlossyxFlashy,0,0,0,"and that’s on jake from state farm, luv. ",,,[],1187575538266845184,https://twitter.com/clarklaurenn/status/1187575538266845184,1840020428,Oklahoma City,35.4676,-97.5137
2,2,2019-10-22 22:59:58,thatrebelcoco,themahler,0,0,0,Eek. Hope everyone has @StateFarm sounds like it’s going to be an active season #countoncoco Go to &gt;&gt; http://Countoncoco.com for a quote!!,,@StateFarm,countoncoco,1186779255327379457,https://twitter.com/thatrebelcoco/status/1186779255327379457,1840020428,Oklahoma City,35.4676,-97.5137
3,3,2019-10-18 03:53:20,MJCasiano,,0,0,4,I blame Patrick Mahomes’ new agent #StateFarm ,,,StateFarm,1185041144650063872,https://twitter.com/MJCasiano/status/1185041144650063872,1840020428,Oklahoma City,35.4676,-97.5137
4,4,2019-10-05 02:11:44,StPaddyCakes,,0,0,1,"After a week, @StateFarm and I have a 27% difference of opinion of safe driving. Don't mess with my discounts #DMWMD #PALINDROM",,@StateFarm,DMWMD PALINDROM,1180304534750584833,https://twitter.com/StPaddyCakes/status/1180304534750584833,1840020428,Oklahoma City,35.4676,-97.5137
5,5,2019-09-24 00:19:34,Eaddy_2k12,TaeDougie9,1,0,1,Mannnnnnn had a nigga going 45 in the 60....Jared from statefarm advice ass nigga ,,,[],1176290038574911488,https://twitter.com/Eaddy_2k12/status/1176290038574911488,1840020428,Oklahoma City,35.4676,-97.5137
6,6,2019-09-22 14:14:18,thatrebelcoco,,0,0,2,Fun time chatting with @StateFarm prospects &amp; customers @ChesapeakeArena with @Hot_Wheels Those trucks and drivers are awesome! #countoncoco,,@StateFarm @ChesapeakeArena @Hot_Wheels,countoncoco,1175775330197483520,https://twitter.com/thatrebelcoco/status/1175775330197483520,1840020428,Oklahoma City,35.4676,-97.5137
7,7,2019-09-22 03:43:20,HypeManHarry,,0,0,0,Jake Fromm from State Farm has as many wins over Notre Dame (2) wins (3) years-(UGA) (2) wins in (61) years-(OU),,,[],1175616543968976901,https://twitter.com/HypeManHarry/status/1175616543968976901,1840020428,Oklahoma City,35.4676,-97.5137
8,8,2019-08-26 04:26:29,okartsthomas,,2,0,1,"Hey @StateFarm, i just had the best experience filing an auto claim today. The customer service was so fast and friendly. I was prepared for week(s) of phone calls and meetings with claim adjusters but everything was taken care of a little under three hours after the accident (on",,@StateFarm,[],1165842930885677061,https://twitter.com/okartsthomas/status/1165842930885677061,1840020428,Oklahoma City,35.4676,-97.5137
9,9,2019-07-29 02:14:30,d_walters237,,1,0,0,"So, have you seen the ""don't mess with my discount!"" commercial? Why does State Farm think this is an ad FOR their ins? If it's so ungodly expensive that it creates that level of anxiety, that seems like a reason to use any other ins company",,,[],1155662855716376576,https://twitter.com/d_walters237/status/1155662855716376576,1840020428,Oklahoma City,35.4676,-97.5137
