,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-11-15 23:34:48,jsw8765,PJJOHNSONAGENT,0,0,0,But doesn’t return calls nor emails. Been a week. Started an early weekend last and pledge to call this week...still waiting. Evidently State Farm doesn’t want to write HO policies anymore. She and E McCoy could care less...,,,[],1195485329995816961,https://twitter.com/jsw8765/status/1195485329995816961,1840015163,Charleston,32.8151,-79.96300000000001
1,1,2019-10-11 13:29:44,LevesterJoeGR2,,0,1,0,"That state farm vibe but this is individual. She own that joint? @Goose Creek, South Carolina https://www.instagram.com/p/B3eslHfB8dm/?igshid=15usowbhmoscx",,,[],1182649486922960905,https://twitter.com/LevesterJoeGR2/status/1182649486922960905,1840015163,Charleston,32.8151,-79.96300000000001
2,2,2019-08-29 19:51:22,MrsMercerD,,0,0,0,"Maybe it’s just me, or maybe it’s just the type of vehicle. But I don’t feel like adding a 98 Jeep Wrangler to a @StateFarm policy should increase the monthly payment by $135.",,@StateFarm,[],1167162846188376066,https://twitter.com/MrsMercerD/status/1167162846188376066,1840015163,Charleston,32.8151,-79.96300000000001
3,3,2019-08-27 19:59:13,Love_Lace_67,,3,44,23,#someone hits your car in the back&for @least I have asked them the over& over out of five cameras on the back they replaced how do u miss one?as all out 2 years I’ve asked them to take care of this on Savannah Highway& North Charleston Thank God for State Farm! – at Hyundai Of North Charleston,,,[],1166440047916306434,https://twitter.com/Love_Lace_67/status/1166440047916306434,1840015163,Charleston,32.8151,-79.96300000000001
4,4,2019-08-06 17:45:35,Irishfan1977,itdbitd,1,0,0,"If State Farm is giving it to him at a discounted price, I wouldn’t want to give that up either.",,,[],1158796272079441921,https://twitter.com/Irishfan1977/status/1158796272079441921,1840015163,Charleston,32.8151,-79.96300000000001
5,5,2019-07-30 23:53:24,_SilverSun_,,0,0,1,We all know the truth. Victor torched Cheryl’s She-shed. #statefarm – at Old Village Neighborhood,,,statefarm,1156352121844973568,https://twitter.com/_SilverSun_/status/1156352121844973568,1840015163,Charleston,32.8151,-79.96300000000001
6,6,2019-06-30 13:48:07,ATLSportsNut_20,,0,0,0,"State Farm Stadium in Glendale, AZ has a maximum capacity of 63,400, which is expandable to at least 72,200. Standing room makes it up to 78,600.",,,[],1145328162739511296,https://twitter.com/ATLSportsNut_20/status/1145328162739511296,1840015163,Charleston,32.8151,-79.96300000000001
7,7,2019-04-16 09:59:54,18cadcbfec8c484,TrooperBob_SC,0,0,2,I bet Chris Cohen State Farm (Goose Creek) would love a surprise visit!,,,[],1118091638793035778,https://twitter.com/18cadcbfec8c484/status/1118091638793035778,1840015163,Charleston,32.8151,-79.96300000000001
8,8,2019-12-26 17:29:57,DamnDtae,BleacherReport,1,0,3,Starting to love this guy,,,[],1210251416134193157,https://twitter.com/DamnDtae/status/1210251416134193157,1840014730,Columbia,34.0376,-80.9037
9,9,2019-12-08 19:31:54,JusLandoEsq,NCbae79,0,0,0,"State Farm got you covered, they seen it all lol",,,[],1203759123646550016,https://twitter.com/JusLandoEsq/status/1203759123646550016,1840014730,Columbia,34.0376,-80.9037
