,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-05-28 04:06:33,Roereezy,TJDhoops,0,0,0,Couple Mvps and the state farm guy ,,,[],1133223004585037824,https://twitter.com/Roereezy/status/1133223004585037824,1840006211,Huntington,38.4109,-82.4344
1,1,2019-12-07 23:43:01,sammitheghost,,0,0,0,But like I used to think I was tired when I worked at State Farm but NO I am understanding why nurses have 3 day work weeks and why I shouldn’t continue to work 5-6 days a week,,,[],1203459929610366977,https://twitter.com/sammitheghost/status/1203459929610366977,1840006196,Charleston,38.3484,-81.6323
2,2,2019-11-06 02:46:37,JensKiel,,0,0,0,"Hey, @Sling - we’ve seen about enough @LibertyMutual ads now (Doug, Emu, Zoltan, and failed actor.) How about some Progressive, Travelers Insurance, State Farm, Prudential Financial, Allstate, AIG, and Nationwide for a change? Or more psoriasis skin flakes? Please? ",,@Sling @LibertyMutual,[],1191909725182537730,https://twitter.com/JensKiel/status/1191909725182537730,1840006196,Charleston,38.3484,-81.6323
3,3,2019-04-11 01:41:16,JakeJarvisWV,,3,0,29,"“Jake? Like, from State farm?” - every man who has ever flirted with me, ever",,,[],1116154213690744832,https://twitter.com/JakeJarvisWV/status/1116154213690744832,1840006196,Charleston,38.3484,-81.6323
4,4,2019-03-27 21:37:54,Jonathan7667,,0,0,0,Fuck State Farm I repeat fuck State Farm. ,,,[],1111019539976859649,https://twitter.com/Jonathan7667/status/1111019539976859649,1840006196,Charleston,38.3484,-81.6323
5,5,2019-06-18 21:21:04,ZacScarbin24,,0,0,0,Breaking News: Rockets agree to trade Chris Paul for the rights to Cliff Paul. The team is excited to announce free State Farm insurance for any free agent willing to put up with James Harden’s 50 shots per game.,,,[],1141093495719059456,https://twitter.com/ZacScarbin24/status/1141093495719059456,1840005510,Wheeling,40.0751,-80.6951
6,6,2019-05-22 22:18:43,TMcGrew15,nbagleague,0,0,1,@TrevonBluiett you deserve half of the praise for saving me ,,@TrevonBluiett,[],1131323529599832064,https://twitter.com/TMcGrew15/status/1131323529599832064,1840005647,Morgantown,39.6379,-79.9468
7,7,2019-10-17 00:31:37,EmilyAllman7,,0,0,2,Thank you Vienna Fire Department for helping children know about fire safety! I’m honored to present a fire safety kit to the station on behalf of State Farm. ,,,[],1184627994750521344,https://twitter.com/EmilyAllman7/status/1184627994750521344,1840005786,Parkersburg,39.2624,-81.5419
8,8,2019-09-20 16:21:24,EmilyAllman7,,0,0,1,"Thank you Parkersburg South High School and Lisa Standiford for asking me to speak to students about insurance and financial services! I had so much fun today, and I’ll be back soon to talk to more Patriots. I’ll be at other area high schools soon. #PSHS #StateFarm – at Parkersburg South High School",,,PSHS StateFarm,1175082543013646336,https://twitter.com/EmilyAllman7/status/1175082543013646336,1840005786,Parkersburg,39.2624,-81.5419
9,9,2019-06-29 00:29:43,EmilyAllman7,WVGovernor,0,0,2,Here is another way State Farm is helping West Virginia. I’m proud to be a State Farm Agent. ,,,[],1144764848548569094,https://twitter.com/EmilyAllman7/status/1144764848548569094,1840005786,Parkersburg,39.2624,-81.5419
10,10,2019-07-19 16:57:56,woshhy,SoyYours,0,0,2,his sweat led me to my short lived career at state farm,,,[],1152261299486810113,https://twitter.com/woshhy/status/1152261299486810113,1840006350,Beckley,37.7877,-81.184
11,11,2019-07-20 22:45:04,scottklimek2,,0,0,0,Drinking a Natural Genius 1082 IPA by @ParkersburgBrew @State Farm Mutual Auto Insurance — ,,@ParkersburgBrew,[],1152711045515010056,https://twitter.com/scottklimek2/status/1152711045515010056,1840005767,Clarksburg,39.2863,-80.32300000000001
12,12,2019-07-20 22:45:04,scottklimek2,,0,0,0,Drinking a Natural Genius 1082 IPA by @ParkersburgBrew @State Farm Mutual Auto Insurance — ,,@ParkersburgBrew,[],1152711045515010056,https://twitter.com/scottklimek2/status/1152711045515010056,1840005732,Fairmont,39.4768,-80.1491
