,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-12-21 03:02:15,echill4692,,1,0,0,"I have yet to receive my updated proof of insurance docs, even though my curent policy expires tomorrow. I called State Farm to discover that a chunk of customers have all called in about not having received updated docs from their agents. No one knows why though lol. Anyway...",,,[],1208221111126831104,https://twitter.com/echill4692/status/1208221111126831104,1840003971,Detroit,42.3834,-83.1024
1,1,2019-12-21 02:53:37,echill4692,,0,0,0,"My updated proof of car insurance hasn’t yet arrived in the mail, and my current policy docs expire tomorrow. So, I called State Farm to find out that a lot of customers have been reaching out due to not receiving their docs.",,,[],1208218939630800900,https://twitter.com/echill4692/status/1208218939630800900,1840003971,Detroit,42.3834,-83.1024
2,2,2019-12-20 21:00:58,__MaryEllen,,0,0,0,"Warren human sex trafficking sting finds prostitutes forced to sell drugs among the people arrested included a @StateFarm Insurance agent, an @OnStar technician, an employee of @BankofAmerica and a student https://www.freep.com/story/news/local/michigan/wayne/2019/12/20/warren-human-trafficking-sting-finds-prostitutes-forced-sell-drugs/2708060001/ via @freep",,@StateFarm @OnStar @BankofAmerica @freep,[],1208130194315366405,https://twitter.com/__MaryEllen/status/1208130194315366405,1840003971,Detroit,42.3834,-83.1024
3,3,2019-11-25 20:44:38,wombang,gib723,0,0,2,And all of America would finally be free of those horrific State Farm commercials...,,,[],1199066386129133570,https://twitter.com/wombang/status/1199066386129133570,1840003971,Detroit,42.3834,-83.1024
4,4,2019-11-24 21:51:18,TaitBrown,joncoopertweets,0,0,0,"Better get Geico, All State and State Farm Insurance, Rudy. ",,,[],1198720776280662016,https://twitter.com/TaitBrown/status/1198720776280662016,1840003971,Detroit,42.3834,-83.1024
5,5,2019-10-31 17:41:01,DirtyMike53,,0,0,0,"“Ugh..Khakis” Apparently Mike from Quicken and Jake from State Farm are the same person @Detroit, Michigan https://www.instagram.com/p/B4SpPCJnifoNJ5fC4R2Fon6fYp-Otv8dBldkJY0/?igshid=pjyne1ejkqx0",,,[],1189960480007344128,https://twitter.com/DirtyMike53/status/1189960480007344128,1840003971,Detroit,42.3834,-83.1024
6,6,2019-10-26 22:33:33,ChrisMeller67,,0,0,0,@StateFarm I'm sorry but your commercials are just so bad.,,@StateFarm,[],1188222160998936577,https://twitter.com/ChrisMeller67/status/1188222160998936577,1840003971,Detroit,42.3834,-83.1024
7,7,2019-10-25 01:30:32,benanholzer,,0,0,0,With @PatrickMahomes out this Sunday the Chiefs have signed the State Farm Agent for a 1 game contract. Ironically his contract covered home and auto.,,@PatrickMahomes,[],1187541921213964288,https://twitter.com/benanholzer/status/1187541921213964288,1840003971,Detroit,42.3834,-83.1024
8,8,2019-10-15 14:23:31,MLDBanks,,0,0,1,"I'm going to switch my car insurance from Geico to Allstate, then to Statefarm, then back to Geico. If my calculations are correct, they should owe me $837.",,,[],1184112571277828098,https://twitter.com/MLDBanks/status/1184112571277828098,1840003971,Detroit,42.3834,-83.1024
9,9,2019-10-15 03:20:23,jjrondo77,,0,0,0,Hey @AaronRodgers12 nice game! Make sure you pay them refs with that @StateFarm money cheating bitch,,@AaronRodgers12 @StateFarm,[],1183945688532602881,https://twitter.com/jjrondo77/status/1183945688532602881,1840003971,Detroit,42.3834,-83.1024
10,10,2019-10-15 03:12:45,SomeCallMeCap,kellierowe,0,0,2,That's actually him doing the State Farm commercials live while he waits for the middle of the field to open up ,,,[],1183943767692365825,https://twitter.com/SomeCallMeCap/status/1183943767692365825,1840003971,Detroit,42.3834,-83.1024
11,11,2019-10-15 02:39:39,B_warner3,,0,0,0,Too bad @StateFarm can’t get that ball back for Aaron Rodgers,,@StateFarm,[],1183935439536824321,https://twitter.com/B_warner3/status/1183935439536824321,1840003971,Detroit,42.3834,-83.1024
12,12,2019-09-28 21:40:30,BrianBullard94,TheWifeYouLove,1,0,3,Does State Farm cover that shit?,,,[],1178061948451205121,https://twitter.com/BrianBullard94/status/1178061948451205121,1840003971,Detroit,42.3834,-83.1024
13,13,2019-09-27 02:43:38,IceColdBrewLou,,0,0,1,Who ever is in charge of making the @StateFarm commercials should be fired immediately they suck so much ass..,,@StateFarm,[],1177413460226969601,https://twitter.com/IceColdBrewLou/status/1177413460226969601,1840003971,Detroit,42.3834,-83.1024
14,14,2019-09-20 02:41:03,BigPaksView,,0,0,2,Absolutely nobody: Takashi69: The husband burned down Sheryl's she shed #takashi69 #Snitch9ine #SnitchNine #JimJones #CardiB #BigPaksView #StateFarm,,,takashi69 Snitch9ine SnitchNine JimJones CardiB BigPaksView StateFarm,1174876091489705986,https://twitter.com/BigPaksView/status/1174876091489705986,1840003971,Detroit,42.3834,-83.1024
15,15,2019-09-18 15:02:40,J_CHUE,RianH2120,1,0,0,Except they didn’t.. said there’s no note in my account stating the renters was to be canceled.. they can reimburse me for only 30 days... aka $15.08. Looking for a new insurance company as we speak ,,,[],1174337952429826053,https://twitter.com/J_CHUE/status/1174337952429826053,1840003971,Detroit,42.3834,-83.1024
16,16,2019-09-18 13:27:37,J_CHUE,,1,0,2,Just realized @StateFarm has been charging us for renters insurance and homeowners insurance.. we told them we were moving out of the apartment and to cancel our renters the day we added the homeowners policy.. 2.5y ago I pray for whomever answers the phone when my wife calls ,,@StateFarm,[],1174314031429115904,https://twitter.com/J_CHUE/status/1174314031429115904,1840003971,Detroit,42.3834,-83.1024
17,17,2019-09-17 21:04:38,TobiasFolf,,2,0,5,Did I just hear a State Farm Radio Commercial covering Ginuwine’s “Pony”? Guess I’d rather hear that than the Summit Place Kia Commercials. ,,,[],1174066657108606976,https://twitter.com/TobiasFolf/status/1174066657108606976,1840003971,Detroit,42.3834,-83.1024
18,18,2019-09-09 02:03:10,willibchillin10,,0,0,0,Bullaro’s conquer two titles this weekend SIJ mushball tournament Men’s & Co-Ed champs with pit stop to Travis burger with charger cup #StateFarm”TomPeck” #Finger-Licking Gud… https://www.instagram.com/p/B2LEkchHIsIZ7SFrlkOJGuIBExt96qyTKYYLIs0/?igshid=8wa2xveme5cj,,,StateFarm Finger,1170880292392976384,https://twitter.com/willibchillin10/status/1170880292392976384,1840003971,Detroit,42.3834,-83.1024
19,19,2019-08-25 17:23:35,RiotJynx,,6,51,398,Yesterday was an exciting day 1 of the #LCS Finals! Such amazing cosplayers and judges at the @StateFarm cosplay contest too. – at Little Caesars Arena,,@StateFarm,LCS LCS,1165676106747449349,https://twitter.com/RiotJynx/status/1165676106747449349,1840003971,Detroit,42.3834,-83.1024
20,20,2019-08-25 17:09:34,Riotswimbananas,,4,9,152,"Happy #LCS finals! I'll be wondering around with the @StateFarm cosplay contest finalists in my blood moon Sivir, so come say hi! Who do you want to win? #C9WIN or #TLWIN ? Blade and mask made by @MrShiftyCloak #cosplay #LeagueOfLegends – at Little Caesars Arena",,@StateFarm @MrShiftyCloak,LCS LCS C9WIN C9WIN TLWIN TLWIN cosplay LeagueOfLegends,1165672579501178880,https://twitter.com/Riotswimbananas/status/1165672579501178880,1840003971,Detroit,42.3834,-83.1024
21,21,2019-08-15 23:28:46,tatar_tot,dan__radcliff,0,0,0,"$500 deductible, travis and I get a student discount, my dad gets a loyal customer discount through state farm, and his credit score discount, full coverage on everything",,,[],1162144129146675200,https://twitter.com/tatar_tot/status/1162144129146675200,1840003971,Detroit,42.3834,-83.1024
22,22,2019-07-16 20:14:36,sermcminn,DesignationSix,0,0,1,State Farm is not the greatest either! ,,,[],1151223628257779713,https://twitter.com/sermcminn/status/1151223628257779713,1840003971,Detroit,42.3834,-83.1024
23,23,2019-07-12 03:46:23,KaraokeMattSays,,0,0,0,Well that's going to be the end of the CP3 and Harden State Farm commercials no question about that,,,[],1149525385408761856,https://twitter.com/KaraokeMattSays/status/1149525385408761856,1840003971,Detroit,42.3834,-83.1024
24,24,2019-06-21 00:49:45,Jaxson313,,0,0,1,"Whoops! Everybody speeds on I-94, State Farm. If I went 55, I’d get run over. #Detroit #Autobahn #motorcity #cantstopwontstop",,,Detroit Autobahn motorcity cantstopwontstop,1141870789874130944,https://twitter.com/Jaxson313/status/1141870789874130944,1840003971,Detroit,42.3834,-83.1024
25,25,2019-06-20 16:49:58,Jaxson313,wxyzdetroit,0,1,1,How about a credit on my ridiculously high insurance premium post haste @StateFarm ,,@StateFarm,[],1141750045416595456,https://twitter.com/Jaxson313/status/1141750045416595456,1840003971,Detroit,42.3834,-83.1024
26,26,2019-06-02 16:27:08,UdoCurrency,,0,0,0,I just entered to win a trip to the 2019 NBA Draft presented by State Farm thanks to @lids &amp; @NewEraCap #LidsSweeps,,@lids @NewEraCap,LidsSweeps,1135221320000688128,https://twitter.com/UdoCurrency/status/1135221320000688128,1840003971,Detroit,42.3834,-83.1024
27,27,2019-05-05 22:08:42,HeyLookItsJacob,,1,0,1,"WHY DID MY CAR INSURANCE INCREASE NEARLY 100 DOLLARS IN ONE MONTH @StateFarm This hurts me so much, its already a struggle as it is...",,@StateFarm,[],1125160415045083138,https://twitter.com/HeyLookItsJacob/status/1125160415045083138,1840003971,Detroit,42.3834,-83.1024
28,28,2019-05-01 23:25:47,MelissaRWilson1,,0,0,0,"This event at eMagine Royal Oak has been so fun! From the Red Carpet, to the mini-interview to the free pinball! The program has been very inspiring as well. Thanks DADA & Statefarm! #couragouspersuaders #statefarm",,,couragouspersuaders statefarm,1123730262733590529,https://twitter.com/MelissaRWilson1/status/1123730262733590529,1840003971,Detroit,42.3834,-83.1024
29,29,2019-04-20 21:31:44,typfrederick,,0,0,2,I can’t believe Oscar left Dunder Mifflin for State Farm....,,,[],1119715293885083648,https://twitter.com/typfrederick/status/1119715293885083648,1840003971,Detroit,42.3834,-83.1024
30,30,2019-04-11 02:00:01,LBInatedogg,WNBA,0,0,1,Yall couldnt wait a week like the tournament just ended !,,,[],1116158931569606656,https://twitter.com/LBInatedogg/status/1116158931569606656,1840003971,Detroit,42.3834,-83.1024
31,31,2019-03-31 20:46:25,ChadLivengood,,2,3,3,"—> @StateFarm, with over 1 million policies in Michigan, was the most-sued auto insurance company in Oakland County in 2018 with 440 lawsuits. Insurance companies in general won’t talk about these suits or their actions that often trigger them. https://www.crainsdetroit.com/crains-forum/courtroom-collisions-no-fault-lawsuits-flood-oakland-county-courts #MiNoFault",,@StateFarm,MiNoFault,1112456135100063745,https://twitter.com/ChadLivengood/status/1112456135100063745,1840003971,Detroit,42.3834,-83.1024
32,32,2019-03-29 23:53:42,JakeFrohriep,Eugene_Scott,1,0,3,“What’s your name?” “Jake.” “Oh like from State Farm!?” “Yep..” “Are you wearing khakis!?” “Please just take my order” ,,,[],1111778488980332544,https://twitter.com/JakeFrohriep/status/1111778488980332544,1840003971,Detroit,42.3834,-83.1024
33,33,2019-03-28 02:45:16,tobiasroberts,GovWhitmer,0,0,0,"When asked by Chairperson @LanaTheis what were the suggested strategies to reduce drivers’ premiums, they [State Farm] cited reducing fraud, putting caps on family provided attendant care and fee schedules. They did not mention PIP Choice. @ProtectNoFault",,@LanaTheis @ProtectNoFault,[],1111096889758400513,https://twitter.com/tobiasroberts/status/1111096889758400513,1840003971,Detroit,42.3834,-83.1024
34,34,2019-03-18 19:29:29,ChocStarr,,0,0,0,I love my job! I’m such a big kid! I love doing random stuff like this!!!! I had a ball at the game yesterday! Pretty cool! Lol #DetroitPistons #Detroit #Pistons #StateFarm @… https://www.instagram.com/chocstarr313/p/BvKU1IhlP8J/?utm_source=ig_twitter_share&amp;igshid=ifisyfeekfyg,,,DetroitPistons Detroit Pistons StateFarm,1107725732417921024,https://twitter.com/ChocStarr/status/1107725732417921024,1840003971,Detroit,42.3834,-83.1024
35,35,2019-12-29 19:50:52,gcnewsman,,2,0,1,"Did somebody slip something in Aaron Rodgers’ drink before the game? I see a guy wearing #12 in green and gold with a beard that looks like the guy in the State Farm commercials, but that’s not Aaron Rodgers. #GBvsDET",,,GBvsDET,1211374040381841408,https://twitter.com/gcnewsman/status/1211374040381841408,1840002928,Grand Rapids,42.9615,-85.6557
36,36,2019-09-08 02:14:14,Nickin616,,0,0,1,Geico Commericals > Allstate Commercials > Progressive Commercials > Liberty Mutual Commercials > State Farm Commercials,,,[],1170520690048602113,https://twitter.com/Nickin616/status/1170520690048602113,1840002928,Grand Rapids,42.9615,-85.6557
37,37,2019-07-12 11:01:48,BK_your_way,,0,0,1,The biggest question I have now: Do the State Farm commercials stay in Houston with Harden or go to OKC with Paul?,,,[],1149634962175299584,https://twitter.com/BK_your_way/status/1149634962175299584,1840002928,Grand Rapids,42.9615,-85.6557
