date,username,replies,retweets,favorites,text,geo,mentions,hashtags,id,original,score,neg,neu,pos,compound,label
2019-01-31 21:03:21,SecondHarvestBB,0,1,4,"we’re extremely grateful to those sponsoring this year’s ""blue jeans and blazers"" fundraiser in the fighting hunger, feeding hope & mobile pantry sponsorship categories: capitalcitybank the millett family, stearnsweaver, merrilllynch, statefarm, the lamont family &amp; flfss.",,@CapitalCityBank @StearnsWeaver @MerrillLynch @StateFarm @FLFSS,,1091079512333475842,"We’re extremely grateful to those sponsoring this year’s ""Blue Jeans and Blazers"" fundraiser in the Fighting Hunger, Feeding Hope & Mobile Pantry sponsorship categories: @CapitalCityBank the Millett family, @StearnsWeaver, @MerrillLynch, @StateFarm, the Lamont family and ; @FLFSS.","{'neg': 0.103, 'neu': 0.755, 'pos': 0.142, 'compound': 0.4005}",0.103,0.755,0.142,0.4005,positive
2019-01-29 17:45:06,ScottPribbenow,1,0,0,statefarm i haven't been able to pull up the website or log in to the app for days now. any ideas? ,,@StateFarm,,1090304845196734469,@StateFarm I haven't been able to pull up the website or log in to the app for days now. Any ideas? ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
2019-01-27 19:29:41,ScottPribbenow,1,0,0,statefarm is something wrong with your app and website? i haven't been able to access either today.,,@StateFarm,,1089606387422937090,@StateFarm Is something wrong with your app and website? I haven't been able to access either today.,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}",0.162,0.838,0.0,-0.4767,negative
2019-01-26 03:33:14,brmoore93,1,0,0,statefarm why haven’t our drive safe and save grade been updated since november 2018?,,@StateFarm,,1089003301906104325,@StateFarm Why haven’t our Drive Safe and Save grade been updated since November 2018?,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.7269}",0.0,0.663,0.337,0.7269,positive
2019-01-24 15:59:08,UCScottB4U,1,0,0,dear statefarm please add back the ability to add forms to a claim on the website. only accepting from the app is ridiculous,,@StateFarm,,1088466239465373696,Dear @StateFarm please add back the ability to add forms to a claim on the website. Only accepting from the app is ridiculous,"{'neg': 0.083, 'neu': 0.594, 'pos': 0.323, 'compound': 0.743}",0.083,0.594,0.323,0.743,positive
2019-01-23 17:48:54,GSU_DLL,0,0,1,"thank you for registering for saturday’s sprint where dll will cover app development and graphic design, led by industry professionals from statefarm, tuner, creative juice and cirrus labs. please make sure to bring your laptops with adobe indesign already downloaded. #gsu #tech",,,#gsu #tech,1088131473008402432,"Thank you for registering for Saturday’s Sprint where DLL will cover App Development and Graphic Design, led by Industry Professionals from StateFarm, Tuner, Creative Juice and Cirrus Labs. Please make sure to bring your laptops with Adobe InDesign already downloaded. #gsu #tech","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8402}",0.0,0.792,0.208,0.8402,positive
2019-01-19 23:29:17,devy2dev4,0,0,0,". shelter_ins is trash. customer service is trash, app is trash, policies trash.... statefarm here i come",,@Shelter_Ins @StateFarm,,1086767581103644672,". @Shelter_Ins is trash. Customer Service is trash, app is trash, policies trash.... @StateFarm here I come","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral
2019-01-19 16:00:09,beeintheqc,0,0,6,the number of times i accidentallly open the yelp app when i mean to open the state farm banking app explains a lot. ,,,,1086654556006744069,The number of times I accidentallly open the Yelp app when I mean to open the State Farm banking app explains a lot. ,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.0772}",0.0,0.944,0.056,0.0772,neutral
2019-01-18 02:49:07,fsu99champs,0,0,0,anyone use the state farm drive safe &amp; save with their teens? wondering if it really saves much. i am a bit leery of letting a company follow and collect data. wondering what others have experienced.,,,,1086093096239185922,Anyone use the State Farm Drive Safe and ; Save with their teens? Wondering if it really saves much. I am a bit leery of letting a company follow and collect data. Wondering what others have experienced.,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.7269}",0.0,0.852,0.148,0.7269,positive
2019-01-17 21:49:06,PdxVeteran,0,1,1,statefarm your drive safe program is a scam - just another version of the insurance industry ripping off/stealing from consumers!!!,,@StateFarm,,1086017594291699713,@StateFarm your drive safe program is a scam - just another version of the insurance industry ripping off/stealing from consumers!!!,"{'neg': 0.18, 'neu': 0.707, 'pos': 0.114, 'compound': -0.3971}",0.18,0.707,0.114,-0.3971,negative
