date,username,replies,retweets,favorites,text,geo,mentions,hashtags,id,original,score,neg,neu,pos,compound,label
2019-01-31 21:49:01,midwestKTcorn,1,0,3,"laughing out loud state farm keeps deleting my tweets of complaint. for $12/yr through another company we would be covered for this whole flood mess. but it wasn’t in our policy offered. disgusting. “not a good neighbor, you were not there!” #statefarm",,,#statefarm,1091091002910277632,"LOL State Farm keeps deleting my tweets of complaint. For $12/yr through another company we would be covered for this whole flood mess. BUT IT WASN’T IN OUR POLICY OFFERED. DISGUSTING. “Not a good neighbor, you were not there!” #statefarm","{'neg': 0.161, 'neu': 0.723, 'pos': 0.116, 'compound': -0.3164}",0.161,0.723,0.116,-0.3164,negative
2019-01-31 21:44:01,midwestKTcorn,0,0,0,statefarm for $12 a year through another agency we could have been covered for this whole flood mess. but we weren’t offered that coverage by your agent. disgusting. absolutely pissed,,@StateFarm,,1091089747596980229,@StateFarm for $12 a year through another agency we could have been covered for this whole flood mess. But we weren’t offered that coverage by your agent. DISGUSTING. ABSOLUTELY PISSED,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.9272}",0.318,0.682,0.0,-0.9272,negative
2019-01-31 02:20:36,midwestKTcorn,1,0,5,state farm won’t let me tweet my complaint that their agent didn’t provide us with the proper insurance for our house and none of our basement flood is covered. they keep deleting my tweet 99% of the time it’s covered and we just happen to fall into the 1%? cool,,,,1090796960930512896,State Farm won’t let me tweet my complaint that their agent didn’t provide us with the proper insurance for our house and none of our basement flood is covered. They keep deleting my tweet 99% of the time it’s covered and we just happen to fall into the 1%? Cool,"{'neg': 0.042, 'neu': 0.914, 'pos': 0.044, 'compound': 0.0258}",0.042,0.914,0.044,0.0258,neutral
2019-01-30 23:23:26,wturner93,0,0,0,"why is #medicareforall a thing? what is the argument for insurance as a 'right', and why is insurance always confused with health care? i have the right to fix or repair a car that is damaged, but that doesn't equate to any right to allstate or statefarm.",,,#MedicareForAll,1090752378679189505,"Why is #MedicareForAll a thing? What is the argument for insurance as a 'right', and why is insurance always confused with health care? I have the right to fix or repair a car that is damaged, but that doesn't equate to any right to Allstate or Statefarm.","{'neg': 0.112, 'neu': 0.846, 'pos': 0.041, 'compound': -0.3839}",0.112,0.846,0.041,-0.3839,negative
2019-01-30 21:36:52,midwestKTcorn,0,0,0,statefarm you’ve got employees not doing their job and not giving the best coverage for our home. 99% when a basement floods it is covered. why are we the 1%? bc we didn’t have a specific policy offered to us by your agent? disgusting. ,,@StateFarm,,1090725557589983237,@StateFarm you’ve got employees not doing their job and not giving the best coverage for our home. 99% when a basement floods it is covered. Why are we the 1%? Bc we didn’t have a specific policy offered to us by YOUR agent? Disgusting. ,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.8467}",0.183,0.817,0.0,-0.8467,negative
2019-01-30 21:33:44,midwestKTcorn,0,0,0,statefarm you’ve got employees not doing their job and not offering us the best coverage that our home needs and now we have to pay for our flooded basement bc a specific policy wasn’t recommended? disgusting.,,@StateFarm,,1090724770709233664,@StateFarm you’ve got employees not doing their job and not offering us the best coverage that our home needs and now we have to pay for our flooded basement bc a specific policy wasn’t recommended? Disgusting.,"{'neg': 0.112, 'neu': 0.748, 'pos': 0.14, 'compound': 0.296}",0.112,0.748,0.14,0.296,neutral
2019-01-30 20:06:08,SadPantherParty,0,0,0,"statefarm ""you must pay us 500$to get your hood damaged fixed in order to replace your unsafe, illegal unsafe windshield."" me : i'll fix my own hood, fix the window. sf [hag voice]""no were nazis and you have to live under our rule even though you be been with us 50 years!""",,@StateFarm,,1090702723643625474,"@StateFarm ""you must pay us 500$to get your hood damaged fixed in order to replace your unsafe, illegal unsafe windshield."" Me : I'll fix my own hood, fix the window. SF [hag voice]""NO were Nazis and you have to live under our rule even though you be been with us 50 years!""","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.8016}",0.143,0.857,0.0,-0.8016,negative
2019-01-30 00:35:22,ecsuper,0,0,0,"need info from a ford escape expert. i got hit in the rear but the sensor in the front got damaged and state farm refused to pay for it , the manual does specify that damage to the rear can damage the front. anyone have knowledge on this issue",,,,1090408093249425409,"Need info from a Ford Escape expert. I got hit in the rear but the sensor in the front got damaged and State Farm refused to pay for it , the manual does specify that damage to the rear can damage the front. Anyone have knowledge on this issue","{'neg': 0.275, 'neu': 0.703, 'pos': 0.022, 'compound': -0.9477}",0.275,0.703,0.022,-0.9477,negative
2019-01-29 23:21:39,acemcgarrett,1,0,0,statefarm should change their tag line to #likeabadneighbor. water damage behind sink. didn’t know until it started smelling. took steps to mitigate. denied because “water seepage” isn’t covered. seepage wasn’t the cause of loss. the damaged/deteriorated/broken line was. ,,@StateFarm,#likeabadneighbor,1090389538529255424,@StateFarm should change their tag line to #likeabadneighbor. Water damage behind sink. Didn’t know until it started smelling. Took steps to mitigate. Denied because “water seepage” isn’t covered. Seepage wasn’t the cause of loss. The damaged/deteriorated/broken line was. ,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.8126}",0.194,0.806,0.0,-0.8126,negative
2019-01-29 21:06:23,CDD_OR_WA,0,1,5,"cdd today at oregon city hs, oregon city, or, drugs/alcohol/dui/rail safety talk, olinational oregonol orstatepolice clackcosheriff clackamasfire sf_tycordova statefarm ",,@olinational @Oregonol @ORStatePolice @ClackCoSheriff @clackamasfire @SF_TyCordova @StateFarm,,1090355498535116800,"CDD today at Oregon City HS, Oregon City, OR, Drugs/Alcohol/DUI/Rail Safety talk, @olinational @Oregonol @ORStatePolice @ClackCoSheriff @clackamasfire @SF_TyCordova @StateFarm ","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}",0.0,0.865,0.135,0.4215,positive
2019-01-28 13:42:35,nbclear,1,0,8,"insurance is a fucking scam our basement flooded and state farm isn’t covering the damage it did to any furniture, the 25k it took to fix our rusted drain trap, or any type of cleanup crew to clean the mud the plumbers tracked everywhere so basically fuck them",,,,1089881426542190592,"insurance is a fucking scam our basement flooded and state farm isn’t covering the damage it did to any furniture, the 25k it took to fix our rusted drain trap, or any type of cleanup crew to clean the mud the plumbers tracked everywhere so basically fuck them","{'neg': 0.225, 'neu': 0.729, 'pos': 0.046, 'compound': -0.8903}",0.225,0.729,0.046,-0.8903,negative
2019-01-28 10:33:33,phill8976,1,0,0,jacquelyn_karl 5fdpchriskael veteran home being destroyed by neighbor statefarm refuse to help this flood has happened 6 times from november 2018 6 x 5 gallons = 30 gallons if i tried to visit my relatives ! would have a totally flooded,,@Jacquelyn_Karl @5FDPChrisKael @StateFarm,,1089833851868856320,@Jacquelyn_Karl @5FDPChrisKael Veteran home being destroyed by neighbor @statefarm refuse to help this flood has happened 6 times from November 2018 6 X 5 gallons = 30 gallons If I tried to visit my relatives ! would have a totally flooded,"{'neg': 0.123, 'neu': 0.819, 'pos': 0.058, 'compound': -0.4574}",0.123,0.819,0.058,-0.4574,negative
2019-01-26 10:51:42,phill8976,1,0,0,chuckwoolery dbongino veteran home being desroyed by neighbor statefarm refuse to help this flood has happened 6 times from november 2018 6 x 5 gallons = 30 gallons ifitryed to vist my relatives ! would have a totally flooded home,,@chuckwoolery @dbongino @StateFarm,,1089113646729433088,@chuckwoolery @dbongino Veteran home being desroyed by neighbor @statefarm refuse to help this flood has happened 6 times from November 2018 6 X 5 gallons = 30 gallons IfItryed to vist my relatives ! would have a totally flooded home,"{'neg': 0.051, 'neu': 0.88, 'pos': 0.069, 'compound': 0.2003}",0.051,0.88,0.069,0.2003,neutral
2019-01-25 18:47:10,clu_bmp,1,0,1,"state farm is a scam lol, they'll cover nothing even if you've never ever in the car's life cycle claimed anything, kept up maintenance, and only happened to have catastrophic flooding ruin the car",,,,1088870914387857411,"State Farm is a scam lol, they'll cover nothing even if you've never ever in the car's life cycle claimed anything, kept up maintenance, and only happened to have catastrophic flooding ruin the car","{'neg': 0.246, 'neu': 0.69, 'pos': 0.064, 'compound': -0.836}",0.246,0.69,0.064,-0.836,negative
2019-01-25 00:50:57,TMYKFacts,0,0,1,"thanks for mentioning us! rt dgendvil: rt tmykfacts: barry manilow did not write his hit ""i write the songs"", he did, however, write state farm's ""like a good neighbor"" jingle a…",,@dgendvil @TMYKFacts,,1088600075016769536,"Thanks for mentioning us! RT @dgendvil: RT @TMYKFacts: Barry Manilow did not write his hit ""I Write the Songs"", He did, however, write State Farm's ""Like a Good Neighbor"" jingle a…","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8221}",0.0,0.765,0.235,0.8221,positive
2019-01-24 14:06:06,FredScanner,0,1,1,"01-24-2019 08:58:51 / commercial bldg / general fire alarm activation / 1090 w patrick st frederick;c: hillcrest town center suit c (state farm) tg: disp: e11,twr1",,,,1088437790680014848,"01-24-2019 08:58:51 / COMMERCIAL BLDG / GENERAL FIRE ALARM ACTIVATION / 1090 W PATRICK ST FREDERICK;C: @HILLCREST TOWN CENTER SUIT C (STATE FARM) TG: Disp: E11,TWR1","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5859}",0.167,0.833,0.0,-0.5859,negative
2019-01-24 09:46:57,phill8976,1,0,0,foxnews veteran home being desroyed by neighbor statefarm refuse to help this flood has happened 6 times from november 2018 6 x 5 gallons = 30 gallons ifitryed to vist my relatives ! would have a totally flooded home jessebwatters,,@FoxNews @StateFarm @JesseBWatters,,1088372574956998656,@FoxNews Veteran home being desroyed by neighbor @statefarm refuse to help this flood has happened 6 times from November 2018 6 X 5 gallons = 30 gallons IfItryed to vist my relatives ! would have a totally flooded home @jessebwatters,"{'neg': 0.051, 'neu': 0.88, 'pos': 0.069, 'compound': 0.2003}",0.051,0.88,0.069,0.2003,neutral
2019-01-24 07:23:27,M0RT1C1A,0,0,1,"like a good neighbor, state farm is there - nosy , judgy, never letting you forget about that time you almost burned down the gazebo with your diy fire pit. #truthfulproductslogans",,,#TruthfulProductSlogans,1088336461282320384,"Like a good neighbor, State Farm is there - nosy , judgy, never letting you forget about that time you almost burned down the gazebo with your DIY fire pit. #TruthfulProductSlogans","{'neg': 0.066, 'neu': 0.74, 'pos': 0.194, 'compound': 0.567}",0.066,0.74,0.194,0.567,positive
2019-01-24 03:45:00,4Appeals,0,0,0,"where an insured claims tort damages for insurer’s denial of or delay in paying benefits, insured must show that the denial or delay was unreasonable; summary judgment affirmed. case v. state farm; 2d dist. b281732.",,,,1088281487387037696,"Where an insured claims tort damages for insurer’s denial of or delay in paying benefits, insured must show that the denial or delay was unreasonable; summary judgment affirmed. Case v. State Farm; 2d Dist. B281732.","{'neg': 0.182, 'neu': 0.754, 'pos': 0.063, 'compound': -0.5994}",0.182,0.754,0.063,-0.5994,negative
2019-01-24 01:25:15,JER_WHIT,0,0,0,the state farm commercial with the deer is beyond trash. what were they thinking? that person should be fired.,,,,1088246317258862593,The State Farm commercial with the deer is beyond trash. What were they thinking? That person should be fired.,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5574}",0.167,0.833,0.0,-0.5574,negative
2019-01-23 17:21:06,PatrioticVa,105,453,423,just so you know statefarm ‘s policy is that if you don’t “blow your horn” after a car hits you then you are “negligent in preventing the accident” and ; they are not required to cover damages. just some more shady insurance company double speak to get out of their responsibilty,,@StateFarm,,1088124477106520064,Just so you know @StateFarm ‘s policy is that if you don’t “blow your horn” AFTER a car hits you then you are “negligent in preventing the accident” &amp; they are not required to cover damages. Just some more shady insurance company double speak to get out of their responsibilty,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.4588}",0.075,0.925,0.0,-0.4588,negative
2019-01-23 02:02:12,JaimeOcampoMD,1,0,0,statefarm so just had a tree fall on my house last week. dye farm has not made any arrangements to send anyone to look at the damage. i feel like their adds are false advertisement!,,@StateFarm,,1087893229666631680,@StateFarm so just had a tree fall on my house last week. Dye farm has not made any arrangements to send anyone to look at the damage. I feel like their adds are false advertisement!,"{'neg': 0.09, 'neu': 0.846, 'pos': 0.064, 'compound': -0.2481}",0.09,0.846,0.064,-0.2481,neutral
2019-01-22 22:58:21,MolitorBridget,1,0,0,statefarm my family has been loyal customers since before i was born can you be a real g and just cover the damages on my car that a homeless guy best the crap of??,,@StateFarm,,1087846959765848064,@StateFarm my family has been loyal customers since before I was born can you be a real G and just cover the damages on my car that a homeless guy best the crap of??,"{'neg': 0.127, 'neu': 0.695, 'pos': 0.177, 'compound': 0.4871}",0.127,0.695,0.177,0.4871,positive
2019-01-22 13:07:48,phill8976,1,0,0,lrihendry geraldorivera chatbycc ryanafournier veteran home being desroyed by neighbor statefarm refuse to help this flood has happened 6 times from november 2018 6 x 5 gallons = 30 gallons ifitryed to vist my relatives ! would have a totally flooded home,,@Lrihendry @GeraldoRivera @ChatByCC @RyanAFournier @StateFarm,,1087698345223749633,@Lrihendry @GeraldoRivera @ChatByCC @RyanAFournier Veteran home being desroyed by neighbor @statefarm refuse to help this flood has happened 6 times from November 2018 6 X 5 gallons = 30 gallons IfItryed to vist my relatives ! would have a totally flooded home,"{'neg': 0.049, 'neu': 0.885, 'pos': 0.066, 'compound': 0.2003}",0.049,0.885,0.066,0.2003,neutral
2019-01-21 19:02:55,DilemmaSchmemma,1,0,0,statefarm how long does it take to settle the average water damage claim and what’s the result? cause mine has been ongoing for 6+ months and i’m out of pocket $4k. get a new slogan if this is how you do business.,,@StateFarm,,1087425326177812480,@StateFarm how long does it take to settle the average water damage claim and what’s the result? Cause mine has been ongoing for 6+ months and I’m out of pocket $4k. Get a new slogan if this is how you do business.,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4939}",0.072,0.928,0.0,-0.4939,negative
2019-01-20 04:47:31,daImatinka,0,0,0,does statefarm cover tire damage while filming an asmr tire video,,,,1086847669471977473,Does StateFarm cover tire damage while filming an asmr tire video,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}",0.242,0.758,0.0,-0.4939,negative
2019-01-19 18:39:29,mrmoblyfe,0,0,0,woke up today and statefarm canceled my renters insurance because i almost lost my life in 2017 because of an apt fire and called my previous company to make a claim and they told me they couldn't do anything for me....and now they put me at risk of losing another apt i'm mad fr,,@StateFarm,,1086694650931490817,Woke up today and @statefarm canceled my renters insurance because I almost lost my life in 2017 because of an apt fire and called my previous company to make a claim and they told me they couldn't do anything for me....And now they put me at risk of losing another apt I'm mad fr,"{'neg': 0.201, 'neu': 0.799, 'pos': 0.0, 'compound': -0.8836}",0.201,0.799,0.0,-0.8836,negative
2019-01-19 15:52:12,EnterpriseMan,0,0,0,"auto fire life business ins tracey vinson state farm agency ""here to help life go right"" why haven't you called me?",,,,1086652552576491521,"AUTO FIRE LIFE BUSINESS INS Tracey Vinson State Farm Agency ""Here to help life go right"" Why haven't you called me?","{'neg': 0.1, 'neu': 0.788, 'pos': 0.112, 'compound': 0.0772}",0.1,0.788,0.112,0.0772,neutral
2019-01-19 15:44:54,trashedgoddess,0,0,4,so originally my car wasn’t totaled and i’ve had a rental blah blah well state farm just called my ass and said they found way more damage and it’s totaled so they’re gonna send me a check and i’m like hehe new car??? but also sad about losing my car,,,,1086650717216083969,So originally my car wasn’t totaled and I’ve had a rental blah blah well State Farm just called my ass and said they found way more damage and it’s totaled so they’re gonna send me a check and I’m like hehe new car??? But also sad about losing my car,"{'neg': 0.249, 'neu': 0.697, 'pos': 0.055, 'compound': -0.893}",0.249,0.697,0.055,-0.893,negative
2019-01-18 19:01:30,CheyCab,1,2,10,one of my state farm folks is on leave from a deployment in #paradise. says it has been emotionally the hardest deployment they have ever had. told me some horrifying and heartbreaking stories. #paradisefires,,,#Paradise #ParadiseFires,1086337803808591872,One of my State Farm folks is on leave from a deployment in #Paradise. Says it has been emotionally the hardest deployment they have ever had. Told me some horrifying and heartbreaking stories. #ParadiseFires,"{'neg': 0.188, 'neu': 0.713, 'pos': 0.1, 'compound': -0.4019}",0.188,0.713,0.1,-0.4019,negative
2019-01-18 06:31:24,SatelliteFlite,0,0,0,state farm gets first national faa waiver for damage assessment drone flights #dronenews,,,#dronenews,1086149036216856576,State Farm Gets First National FAA Waiver for Damage Assessment Drone Flights #dronenews,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}",0.211,0.789,0.0,-0.4939,negative
2019-01-17 21:56:25,mathismom12,1,0,1,"statefarm please train the customers service representatives ! everyone i have spoken to has a different answer. having a damaged vehicle is stressful enough, then to deal with this... unreal.",,@StateFarm,,1086019436270768129,"@StateFarm please train the customers service representatives ! Everyone I have spoken to has a different answer. Having a damaged vehicle is stressful enough, then to deal with this... unreal.","{'neg': 0.181, 'neu': 0.754, 'pos': 0.064, 'compound': -0.636}",0.181,0.754,0.064,-0.636,negative
2019-01-17 15:20:11,djtasi,2,0,0,it’s funny how state farm sent me a letter on monday talking about it’s mandatory for them to let me know about earthquake insurance and since then we’ve had 2. hmmmm,,,,1085919721000583168,It’s funny how State Farm sent me a letter on Monday talking about it’s mandatory for them to let me know about earthquake insurance and since then we’ve had 2. Hmmmm,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4939}",0.0,0.873,0.127,0.4939,positive
2019-01-16 17:45:38,ganc_io,1,2,1,"""state farm has been developing its ability to use unmanned aircraft systems (uas) to quickly survey damage and speed claims processing."" ",,,,1085593934762573824,"""State Farm has been developing its ability to use unmanned aircraft systems (UAS) to quickly survey damage and speed claims processing."" ","{'neg': 0.131, 'neu': 0.776, 'pos': 0.094, 'compound': -0.2263}",0.131,0.776,0.094,-0.2263,neutral
2019-01-15 18:17:48,firesafetydogs,2,0,4,"monday, tuesday & wednesday of next week i’m skyping my fire safety program with schools in arkansas, along with their local statefarm agents! i’m super excited! #statefarm is the keep kids fire safe foundation’s corporate partner and ; thanks to them, we are keeping more kids safe! ",,@StateFarm,#StateFarm,1085239642511851522,"Monday, Tuesday & Wednesday of next week I’m Skyping my fire safety program with schools in Arkansas, along with their local @StateFarm agents! I’m super excited! #StateFarm is the Keep Kids Fire Safe Foundation’s corporate partner &amp; thanks to them, we are keeping more kids safe! ","{'neg': 0.076, 'neu': 0.621, 'pos': 0.302, 'compound': 0.9343}",0.076,0.621,0.302,0.9343,positive
